State,Place,City,ImageName
arunachal-pradesh,Hanuman Camp,Mechuka,arunachal-pradesh_mechuka_hanuman_camp.jpg
west-bengal,Shiv Shakti Dham,Durgapur,west-bengal_durgapur_shiv_shakti_dham.jpg
odisha,Dumuriput Ram Temple,Koraput,odisha_koraput_dumuriput_ram_temple.jpg
odisha,Gupteswar Temple,Koraput,odisha_koraput_gupteswar_temple.jpg
odisha,Deomali Hills,Koraput,odisha_koraput_deomali_hills.jpg
odisha,Duduma Waterfall,Koraput,odisha_koraput_duduma_waterfall.jpg
odisha,Biju Patnaik Aeronautics Museum,Koraput,odisha_koraput_biju_patnaik_aeronautics_museum.jpg
maharashtra,Bhavani Temple,Mahabaleshwar,maharashtra_mahabaleshwar_bhavani_temple.jpg
rajasthan,Eighty Four Pillared Cenotaph,Bundi,rajasthan_bundi_eighty_four_pillared_cenotaph.jpg
rajasthan,Shikar Burj,Bundi,rajasthan_bundi_shikar_burj.jpg
tamil-nadu,Mahishasuramardini Cave Temple,Mamallapuram,tamil-nadu_mamallapuram_mahishasuramardini_cave_temple.jpg
tamil-nadu,Tiger Cave,Mamallapuram,tamil-nadu_mamallapuram_tiger_cave.jpg
tamil-nadu,Shore Temple,Mamallapuram,tamil-nadu_mamallapuram_shore_temple.jpg
tamil-nadu,Mahabalipuram Beach,Mamallapuram,tamil-nadu_mamallapuram_mahabalipuram_beach.jpg
tamil-nadu,Pancha Pandava Mandapam,Mamallapuram,tamil-nadu_mamallapuram_pancha_pandava_mandapam.jpg
rajasthan,Alwar Government Museum,Alwar,rajasthan_alwar_alwar_government_museum.jpg
tamil-nadu,Dakshinachitra Heritage Museum,Mamallapuram,tamil-nadu_mamallapuram_dakshinachitra_heritage_museum.jpg
tamil-nadu,Sculpture Museum,Mamallapuram,tamil-nadu_mamallapuram_sculpture_museum.jpg
tamil-nadu,Arjuna's Penance,Mamallapuram,tamil-nadu_mamallapuram_arjunas_penance.jpg
tamil-nadu,Krishna Mandapam,Mamallapuram,tamil-nadu_mamallapuram_krishna_mandapam.jpg
tamil-nadu,Krishna's Butter Ball,Mamallapuram,tamil-nadu_mamallapuram_krishnas_butter_ball.jpg
rajasthan,Talvriksha,Alwar,rajasthan_alwar_talvriksha.jpg
rajasthan,Moosi Maharani Ki Chhatri,Alwar,rajasthan_alwar_moosi_maharani_ki_chhatri.jpg
rajasthan,Bhangarh Fort,Alwar,rajasthan_alwar_bhangarh_fort.jpg
rajasthan,Bala Quila,Alwar,rajasthan_alwar_bala_quila.jpg
rajasthan,Pandupol Hanuman Ji Mandir,Alwar,rajasthan_alwar_pandupol_hanuman_ji_mandir.jpg
rajasthan,Neemrana Baori,Alwar,rajasthan_alwar_neemrana_baori.jpg
rajasthan,Siliserh Lake,Alwar,rajasthan_alwar_siliserh_lake.jpg
